PWSID,Name,County,FedBgnDt,FedEndDt,VioType,VioName,Analyte,AnalyteCode,count
MO5010004   ,ALBA,JASPER,01-Mar-16,31-Mar-16,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5010004   ,ALBA,JASPER,01-Oct-13,31-Oct-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5010192   ,CRANE,STONE,01-Mar-16,31-Mar-16,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5010192   ,CRANE,STONE,01-May-15,31-May-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5010197   ,CROSS TIMBERS,HICKORY,01-Aug-16,31-Aug-16,1A,"MCL, E. COLI, POS E COLI (RTCR)",E. COLI,3014,2
MO5010197   ,CROSS TIMBERS,HICKORY,01-Sep-13,30-Sep-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5010241   ,EL DORADO SPRINGS,CEDAR,01-Nov-13,30-Nov-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5010241   ,EL DORADO SPRINGS,CEDAR,01-Oct-14,31-Oct-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5010267   ,FAIRVIEW,NEWTON,01-Jun-15,30-Jun-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5010267   ,FAIRVIEW,NEWTON,01-Aug-15,31-Aug-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5010480   ,LOWRY CITY,ST CLAIR,01-Nov-15,30-Nov-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5010480   ,LOWRY CITY,ST CLAIR,01-Oct-15,31-Oct-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5030473   ,STARLIGHT VILLAGE,STONE,22-Oct-16,30-Nov-16,2A,"LEVEL 1 ASSESS, MULTIPLE TC POS (RTCR)",REVISED TOTAL COLIFORM RULE (RTCR),8000,2
MO5030473   ,STARLIGHT VILLAGE,STONE,01-Aug-15,31-Aug-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5031088   ,ELMO SUBDIVISION 1 & 2 & 3,BARRY,01-Jan-14,31-Jan-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5031088   ,ELMO SUBDIVISION 1 & 2 & 3,BARRY,01-Jan-14,31-Jan-14,21,"MCL (TCR), ACUTE",COLIFORM (TCR)                          ,3100,2
MO5031363   ,OAK RIDGE HILLS,DADE,01-Aug-13,31-Aug-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5031363   ,OAK RIDGE HILLS,DADE,01-Sep-13,30-Sep-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5031456   ,LINDLEY COVE WELL ASSOC,HICKORY,01-Jun-15,30-Jun-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5031456   ,LINDLEY COVE WELL ASSOC,HICKORY,01-Jul-15,31-Jul-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
